mode,origin_latitude,origin_longitude,destination_latitude,destination_longitude,route_name
driving,37.7773159,-122.4789618,47.689452,-122.322404,"560 20th Ave, SF, CA 94121 > 511 Northeast 84th Street, Seattle, WA 98115, USA"
driving,47.689452,-122.322404,48.9242888,-122.077093,"511 Northeast 84th Street, Seattle, WA 98115, USA > Maple Falls, Washington"
driving,48.9242888,-122.077093,49.2827291,-123.1207375,"Maple Falls, Washington > Vancouver, Canada"
driving,49.2827291,-123.1207375,47.689452,-122.322404,"Vancouver, Canada > 511 Northeast 84th Street, Seattle, WA 98115, USA"
driving,47.689452,-122.322404,45.515232,-122.6783853,"511 Northeast 84th Street, Seattle, WA 98115, USA > Portland, Oregon"
driving,45.515232,-122.6783853,44.0581728,-121.3153096,"Portland, Oregon > Bend, Oregon"
driving,44.0581728,-121.3153096,43.6150186,-116.2023137,"Bend, Oregon > Boise, Idaho"
driving,43.6150186,-116.2023137,40.7607793,-111.8910474,"Boise, Idaho > Salt Lake City, Utah"
driving,40.7607793,-111.8910474,37.2982022,-113.0263005,"Salt Lake City, Utah > Zion National Park, Utah"
driving,37.2982022,-113.0263005,37.5930377,-112.1870895,"Zion National Park, Utah > Bryce Canyon National Park, Utah"
driving,37.5930377,-112.1870895,38.0877312,-111.1354983,"Bryce Canyon National Park, Utah > Capitol Reef National Park, Utah"
driving,38.0877312,-111.1354983,38.2135733,-109.9025345,"Capitol Reef National Park, Utah > Canyonlands National Park, Utah"
driving,38.2135733,-109.9025345,38.733081,-109.5925139,"Canyonlands National Park, Utah > Arches National Park, Utah"
driving,38.733081,-109.5925139,39.5505376,-107.3247762,"Arches National Park, Utah > Glenwood Springs, Colorado"
driving,39.5505376,-107.3247762,41.8666341,-103.6671662,"Glenwood Springs, Colorado > Scottsbluff, Nebraska"
driving,41.8666341,-103.6671662,43.5724388,-103.4415644,"Scottsbluff, Nebraska > Wind Cave National Park, SD"
driving,43.5724388,-103.4415644,43.8553804,-102.3396912,"Wind Cave National Park, SD > Badlands National Park, SD"
driving,43.8553804,-102.3396912,46.8771863,-96.7898034,"Badlands National Park, SD > Fargo, North Dakota"
driving,46.8771863,-96.7898034,44.977753,-93.2650108,"Fargo, North Dakota > Minneapolis, MN"
driving,44.977753,-93.2650108,43.3033056,-91.7857092,"Minneapolis, MN > Decorah, Iowa"
driving,43.3033056,-91.7857092,43.0721661,-89.4007501,"Decorah, Iowa > Madison, WI"
driving,43.0721661,-89.4007501,43.0389025,-87.9064736,"Madison, WI > Milwaukee, WI"
driving,43.0389025,-87.9064736,41.8781136,-87.6297982,"Milwaukee, WI > Chicago, Illinois"
driving,41.8781136,-87.6297982,41.6532678,-87.0524338,"Chicago, Illinois > Indiana Dunes National Park, Indiana"
driving,41.6532678,-87.0524338,39.768403,-86.158068,"Indiana Dunes National Park, Indiana > Indianapolis, Indiana"
driving,39.768403,-86.158068,37.3826741,-80.1097462,"Indianapolis, Indiana > Catawba, Virginia"
driving,37.3826741,-80.1097462,37.5407246,-77.4360481,"Catawba, Virginia > Richmond, VA"
train,41.5034271,-74.0104178,40.7383739,-74.0053442,"Newburgh, NY > 630 Hudson St, New York, NY 10014"
train,40.7383739,-74.0053442,41.5034271,-74.0104178,"630 Hudson St, New York, NY 10014 > Newburgh, NY"
driving,37.5407246,-77.4360481,41.5034271,-74.0104178,"Richmond, VA > Newburgh, NY"
driving,41.5034271,-74.0104178,44.4758825,-73.212072,"Newburgh, NY > Burlington, VT"
driving,44.4758825,-73.212072,44.3879504,-71.1727881,"Burlington, VT > Gorham, NH"
driving,44.3879504,-71.1727881,44.3385559,-68.2733346,"Gorham, NH > Acadia National Park, Maine"
driving,44.3385559,-68.2733346,42.3600825,-71.0588801,"Acadia National Park, Maine > Boston, MA"
driving,42.3600825,-71.0588801,39.7876112,-75.6966001,"Boston, MA > Hockessin, DE"
driving,39.7876112,-75.6966001,39.744655,-75.5483909,"Hockessin, DE > Wilmington, DE"
driving,39.744655,-75.5483909,39.9525839,-75.1652215,"Wilmington, DE > Philadelphia, PA"
driving,39.9525839,-75.1652215,39.0839973,-77.1527578,"Philadelphia, PA > Rockville, MD"
driving,39.0839973,-77.1527578,37.5407246,-77.4360481,"Rockville, MD > Richmond, VA"
flights,38.851242,-77.0402315,39.8730385,-75.2437468,Reagan International Airport > Philadelphia International Airport
flights,39.8730385,-75.2437468,52.3105386,4.7682744,Philadelphia International Airport > AMS Airport
flights,52.3105386,4.7682744,46.2369794,6.1090888,AMS Airport > Geneva Airport
flights,46.2369794,6.1090888,31.6294723,-7.9810845,Geneva Airport > Marrakech Airport
flights,34.0181246,-5.0078451,41.2421186,-8.6785514,Fes Airport > Porto Airport
flights,41.2421186,-8.6785514,52.3105386,4.7682744,Porto Airport > AMS Airport
flights,52.3105386,4.7682744,25.0796514,121.234217,AMS Airport > Taipei Airport
flights,25.0796514,121.234217,21.2187149,105.8041709,Taipei Airport > Hanoi Airport
flights,21.2187149,105.8041709,1.3644202,103.9915308,Hanoi Airport > Singapore Airport
flights,1.3644202,103.9915308,18.767749,98.9640088,Singapore Airport > Chiang Mai Airport
